LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size,BC
-611.7996437272554,489.914064784694,491.67130234122703,489.9140647939238,491.6043857448125,489.9140647939238,491.5783860102448,-827.5878741589253,490.4085732928093,0.0583354816796666,3220.771882730632,492.61891325965695,-698.292800951232,7296,219.48394165202615
-576.5904456379836,492.1338888076232,492.3019544891624,492.1338888076232,492.30240574855486,492.1338888076232,492.4535221674087,-325.42408708961034,492.1507796420029,0.0694706596160185,3462.0192979154453,492.61891325965695,-698.292800951232,7296,219.28757002392962
-467.4091257504802,490.5786235809106,491.7724563774749,490.5786235794118,491.4893483835872,490.5786235794118,491.7516535994848,-470.62803874285953,490.52806715282975,0.1082448716418979,3049.403716271921,492.61891325965695,-698.292800951232,7296,219.9674904628667
-654.9088768896829,479.1802128082576,485.8236445509707,479.1802128082576,485.95432820237886,479.1802128082576,479.855801900378,-563.6932725624786,490.5165390411398,0.1281843808216809,3397.233364238404,492.61891325965695,-698.292800951232,7296,219.56428185761996
-693.6833726219741,466.06021793193145,479.0707928770303,466.06021793193145,479.0707928770545,466.06021793193145,469.38765681276567,-293.05017513157287,488.4124450993464,0.3942045189595482,3523.894148824688,492.61891325965695,-698.292800951232,7296,222.59405315770724
-606.1612452074496,482.6971495507743,487.47508642185466,482.697151588622,487.4750866773641,482.697151588622,483.3482536664336,-309.136464045735,482.9722053157879,0.0549017926406862,3520.26400651166,492.61891325965695,-698.292800951232,7296,220.13630962205735
-732.3908422188463,479.6486592642456,485.9620004474697,479.6486592642456,485.9536418512066,479.648659264408,482.47549423383896,-421.2153700201577,487.49676209188175,0.758190008712037,3677.4869839964663,492.61891325965695,-698.292800951232,7296,219.9179917880127
-756.2030736673769,477.48900203808375,483.8724418637845,477.489002038486,483.8724324419704,477.48900203808375,479.55689955385714,-380.9934599473547,485.97540048389885,0.8153495501237635,3951.0207333186017,492.61891325965695,-698.292800951232,7296,218.73801721129522
-1075.2995970133036,105.44175072248996,0.746834297976875,-539.098933670686,0.7467300207350149,-539.0989336702331,-564.6368904471427,-287.2623053062701,441.7644231245517,2.8603078255015477,3068.9391172744317,492.61891325965695,-698.292800951232,7296,218.01150960321863
-933.8765832749008,487.4297145844092,490.0578504264339,487.4297145844092,489.7613399185217,487.4297145780221,488.4577600779535,-448.0401564459148,488.5169870364339,0.1884470037652509,4369.494589742846,492.61891325965695,-698.292800951232,7296,219.99597915490443
-742.4879592389054,483.7696392029925,487.30375828094753,483.76963919965857,487.3037567698203,483.769639199961,484.4728788222861,-252.0931348949177,490.0838377030162,1.9149005298533772,3800.427846772588,492.61891325965695,-698.292800951232,8199,219.4515222558006
-894.4547693709034,490.228250928361,491.3232521507354,490.228250928361,491.357758193732,490.228250928361,490.7789934349207,-284.29687550089346,490.4378783035917,0.0652836346883827,4619.631418936708,492.61891325965695,-698.292800951232,8199,219.54858618647083
-759.4246435493976,492.06436811295066,492.3487749237423,492.06436811295066,492.3487758770603,492.06436811295066,492.5161863000112,-490.13435398024967,492.0661662887486,0.1580893082833485,3916.650348206316,492.61891325965695,-698.292800951232,8199,219.74268876515058
-938.818258692734,491.40965769101103,491.8049491925077,491.40965769101103,492.2479578594685,491.40965769101103,492.2189668197333,-339.5713740592381,491.3415854395366,0.0589445966442193,4358.532376190555,492.61891325965695,-698.292800951232,8199,219.3017035536261
-550.2169549727515,490.0016093438773,490.64890525925097,490.0016093438773,490.6488228504476,490.0016093438773,490.64284618100646,-534.5677981650852,491.0323706619306,2.8139371100594777,3198.977525447877,492.61891325965695,-698.292800951232,8199,219.8117611423003
-742.3693405055621,487.228278404575,489.9111410146104,487.228278404575,489.9111136836112,487.228278404575,487.4549293681166,-293.2550909194525,490.6718374706083,0.0618070828808184,3924.241873544929,492.61891325965695,-698.292800951232,8199,219.89219536848117
